Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Cross Trax French Fries,South,Lunch,"Wheat, Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-01-20,253,4 OZ,18.9g,21g,1.8g,2g,0g,0g,0mg,0g,550.3mg,2g,0mg,0.7mg,0mcg,240.1mg
Grilled Cheese,South,Lunch,"Milk, Wheat, Soybeans","['Vegetarian', 'A vegetarian or vegan entree offfered at lunch or dinner that does not contain onions or garlic.']",2023-01-20,279,1 EACH,15.5g,25g,9.3g,2g,0g,3g,40.5mg,2g,786.8mg,9.1g,171.6mg,1.3mg,0.1mcg,120.8mg
Grilled Chicken Breast,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-20,86,1 EACH,2.1g,0g,0.5g,0g,g,0g,48.3mg,0g,145mg,17.2g,mg,0.4mg,mcg,mg
Grilled Hot Dogs,South,Lunch,,['Gluten Friendly'],2023-01-20,172,1 EACH,15.2g,2g,5.1g,0g,0g,1g,30.4mg,0g,587.3mg,7.1g,26.3mg,0.7mg,mcg,mg
Sweet Potato Black Bean Burger with Bun,South,Lunch,"Wheat, Soybeans","['Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-20,330,1 EACH,4g,61g,0g,8g,0g,6g,0mg,0g,500mg,14g,660mg,3.8mg,0mcg,615mg
Halal Chicken Fajita,South,Lunch,"Milk, Wheat, Soybeans",[],2023-01-20,305,1 EACH,11.9g,21.9g,5.2g,1.1g,0g,4.8g,81mg,1g,582.8mg,27.3g,283.5mg,1.2mg,0mcg,478mg
Basmati Rice,South,Lunch,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,178,4 OZ,2.6g,34.9g,0.8g,0g,0g,0g,0mg,0g,23.8mg,2.9g,2.1mg,0mg,0mcg,0mg
Chicken Tikka Masala,South,Lunch,Milk,"['Gluten Friendly', 'Less Sodium']",2023-01-20,191,4 OZ,11.5g,4.5g,7.2g,0.3g,0g,2.8g,96.3mg,0.9g,245.9mg,14.5g,538.3mg,1mg,0mcg,159.3mg
Lemon Dill Scrod,South,Lunch,Fish,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-20,82,1 EACH,0.9g,0.2g,0g,0g,0g,0g,45mg,0g,116.6mg,18g,18.6mg,0.3mg,0mcg,3.4mg
Pea and Potato Samosa,South,Lunch,"Wheat, Gluten","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,275,2 EACH,16.7g,28g,0.6g,2g,0g,0g,0mg,0g,400mg,4g,0mg,1.4mg,0mcg,mg
