Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Fruit of the Forest Pie,Whitney,Dinner,"Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-21,475,1/8 PIE,27.5g,55g,11.3g,2.5g,0g,22.5g,0mg,0g,412.5mg,3.8g,50mg,1.8mg,0mcg,mg
Cage Free Boiled Eggs,Whitney,Lunch,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-22,150,2 EA,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
Chocolate Chip Pancakes,Whitney,Lunch,"Milk, Eggs, Wheat, Soybeans","['Less Sodium', 'Vegetarian']",2023-01-22,548,2 EACH,24.5g,66.6g,4.6g,0g,0g,24.7g,114.6mg,14.2g,453.1mg,14g,300.6mg,4mg,0.7mcg,250.4mg
O'Brien Potatoes,Whitney,Lunch,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-22,128,4 OZ,4g,21.1g,1.3g,0.2g,0g,0.6g,0.1mg,0g,167.6mg,1.4g,2.3mg,0mg,0mcg,18.6mg
Omelet Bar,Whitney,Lunch,,[],2023-01-22,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Plant Based Pancakes,Whitney,Lunch,"Wheat, Soybeans","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-22,453,2 EACH,18.1g,60g,1.1g,0g,0g,15.4g,0mg,14.2g,486.8mg,10.8g,289.4mg,3.4mg,1mcg,164.4mg
Plant-Based Breakfast Sausage,Whitney,Lunch,"Soybeans, Coconut","['Gluten Friendly', 'Contains Nuts', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-22,90,1 EACH,6g,4g,2.5g,0g,0g,0g,0mg,0g,210mg,6g,49mg,1mg,0mcg,280mg
Sausage Patties,Whitney,Lunch,,"['Gluten Friendly', 'Less Sodium']",2023-01-22,253,2 EACH,24.3g,0g,9.1g,0g,0g,0g,40.5mg,0g,546.8mg,8.1g,0mg,0.4mg,mcg,mg
Scrambled Eggs,Whitney,Lunch,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-22,132,3 OZ,8.5g,0g,2.8g,0g,0g,0g,320mg,0g,122.4mg,11.3g,48.9mg,2mg,1.9mcg,122.4mg
Scrambled Eggs with American Cheese,Whitney,Lunch,"Milk, Eggs, Soybeans","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-22,167,3 OZ,11.5g,1.8g,5.1g,0g,0g,0.6g,284.1mg,0g,395.6mg,12.6g,120.6mg,1.8mg,1.7mcg,140.5mg
Cheese Lasagna,Whitney,Lunch,"Milk, Eggs, Wheat",['Vegetarian'],2023-01-22,518,1/28 PAN,26.9g,41.1g,13.5g,2.5g,0g,12.7g,114.7mg,0g,941.1mg,31g,738mg,1.6mg,0.1mcg,10mg
Grilled Chicken Breast,Whitney,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-22,86,1 EACH,2.1g,0g,0.5g,0g,g,0g,48.3mg,0g,145mg,17.2g,mg,0.4mg,mcg,mg
Tomato Soup,Whitney,Lunch,Wheat,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-22,63,6 OZL,0g,14g,0g,0g,0g,8.4g,0mg,4.9g,338.8mg,1.4g,16.5mg,0.5mg,0mcg,202.7mg
Assorted  Scones 1.8 oz.,Whitney,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-22,224,1 EACH,10g,30.7g,5g,0.5g,0g,16.7g,5mg,0g,160mg,2.5g,0mg,0mg,0mcg,0mg
S'mores Cookies,Whitney,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).",[],2023-01-22,190,1 EACH,9g,25g,4.5g,0g,0g,13g,10mg,13g,200.2mg,1g,10.1mg,1.3mg,0mcg,30mg
Vegan Sloppy Joe,Whitney,Dinner,,"['Gluten Friendly', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-22,118,3 OZ,1.4g,14g,0g,0.3g,0g,9.7g,0mg,0.1g,577.4mg,11.6g,24.1mg,3.5mg,0mcg,98.1mg
BBQ Pork Chops,Whitney,Dinner,,"['Gluten Friendly', 'Less Sodium']",2023-01-22,338,1 EACH,15.2g,11.2g,5.3g,0g,0g,10.4g,114.3mg,0g,345.9mg,35g,0mg,1.6mg,mcg,0mg
White Vegetable Lasagna,Whitney,Dinner,"Milk, Eggs, Wheat","['Less Sodium', 'Vegetarian']",2023-01-22,403,1/28 PAN,16.7g,41.2g,10.1g,1.8g,0g,10.4g,75.9mg,0.7g,485mg,18.8g,482.4mg,1.3mg,2.2mcg,269.6mg
Baby Carrots Fresh Steamed,Whitney,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-22,35,3 OZ,0.2g,8.2g,0g,2g,g,5.3g,0mg,0g,28.4mg,0.8g,21.9mg,0.4mg,mcg,261.6mg
Red Petite Potatoes w/ Parsley,Whitney,Dinner,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-22,93,4 OZ,2.2g,18.9g,0.7g,2.2g,0g,2.2g,0mg,0g,18.4mg,2.9g,18mg,0.8mg,0mcg,526.1mg
