Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Shredded Lettuce,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,8,2 OZ,0.1g,1.7g,0g,0.6g,0g,1g,0mg,0g,5.7mg,0.5g,10.2mg,0.2mg,0mcg,79.9mg
Sour Cream,North,Lunch,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,113,2 OZ,9.5g,3.8g,6.6g,0g,0g,1.9g,37.8mg,0g,56.7mg,1.9g,58.6mg,0mg,0mcg,85.1mg
BLT Bar,North,Lunch,,[],2023-01-19,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,0.2mg,0g,0.1mg,0mg,0mcg,0mg
Potato Chips,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,162,1 OZ,10.1g,15.2g,1.5g,1g,g,1g,0mg,0g,172.1mg,2g,0mg,0.4mg,0mcg,354.4mg
Chef's Choice Pasta Du Jour,North,Lunch,Wheat,[],2023-01-19,212,4 OZ,3.6g,36.8g,0.4g,1.8g,0g,1.8g,0mg,0g,0mg,6.3g,0mg,1.6mg,0mcg,0mg
Marinara Sauce,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
Cheese Pizza,North,Lunch,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-19,152,1/16 PIE,4.9g,20g,2.4g,1g,0g,1.8g,11.4mg,0.4g,303.6mg,7.3g,120.4mg,1.3mg,0mcg,26.5mg
Pepperoni Pizza,North,Lunch,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).",['Less Sodium'],2023-01-19,178,1/16 PIE,7.3g,20g,3.3g,1g,0g,1.8g,17mg,0.4g,397.3mg,8.4g,124.2mg,1.3mg,0mcg,26.5mg
Special Pizza,North,Lunch,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).",['Less Sodium'],2023-01-19,149,1/16 PIE,4.9g,19.3g,2.4g,0.8g,0g,1.4g,11.4mg,0.4g,291.9mg,7.2g,118.5mg,1.2mg,0mcg,26.5mg
Chickpea Biryani,North,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-19,299,8 OZL,7.2g,49.2g,1.1g,3.9g,0g,1.8g,0mg,0g,410.2mg,7.9g,30.8mg,1.4mg,0mcg,268mg
Dijon Chicken,North,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-19,229,1 EACH,8g,0.1g,1.7g,0.4g,0g,0g,164.1mg,0g,214.1mg,35.4g,34.1mg,1.8mg,0mcg,1.5mg
BBQ Kansas City Pork Spare Ribs,North,Dinner,,['Gluten Friendly'],2023-01-19,472,8 OZ,33.8g,21.3g,13.1g,1.2g,0g,16.7g,77.3mg,3.6g,616.7mg,21.9g,45.7mg,2mg,0mcg,59mg
Alfredo Sauce,North,Dinner,"Milk, Wheat","['Less Sodium', 'Vegetarian']",2023-01-19,325,4 OZL,27.2g,3.7g,17.3g,0g,0g,4.7g,88.8mg,0g,507.4mg,13g,1384.5mg,0.1mg,0.8mcg,4.7mg
Baked Potatoes,North,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,176,1 EACH,0.2g,40g,0.1g,4.2g,0g,2.2g,0mg,0g,18.9mg,4.7g,28.4mg,2mg,0mcg,1011.2mg
Cornbread,North,Dinner,"Milk, Eggs, Wheat","['Less Sodium', 'Vegetarian']",2023-01-19,68,1/35 HFPAN,2.7g,9.5g,1.7g,0g,0g,1.8g,13.2mg,1.4g,126.9mg,1.4g,16.7mg,0.4mg,0mcg,15.9mg
